http://unfccc.int/files/adaptation/application/pdf/veolia.pdf,Desalination: Kurnell Project,Veolia Water,Energy and Utilities,Water resources,Australia,AUS,0,0
http://unfccc.int/files/adaptation/application/pdf/rio_tinto.pdf,"Reappraising “normal” - Designing to weather, climate, and climate change",Rio Tinto,Mining and Metals,"Water resources; Science, assessment, monitoring and early warning",Australia,AUS,0,0
