IND 
USA 
GBR 
FRO 
BFA 
BRA 
CHN 
IDN 
MEX 
THA 
AUS 
BGD 
EGY 
ETH 
MOZ 
PHL 
TUV 
VNM 
ZAF 
AUT 
CIV 
COL 
CPV 
DOM 
DZA 
ISR 
ITA 
JPN 
KGZ 
LAO 
MAR 
MDG 
NIC 
NLD 
NPL 
PER 
ROU 
SDN 
SLV 
TUN 
ZMB	1
